연도,월,신규 발급자 수
2011,12,8
2012,01,35
2012,02,183
2012,03,121
2012,04,114
2012,05,116
2012,06,100
2012,07,154
2012,08,131
2012,09,230
2012,10,293
2012,11,341
2012,12,386
2013,01,486
2013,02,799
2013,03,"1,389"
2013,04,"1,482"
2013,05,"1,718"
2013,06,"1,479"
2013,07,"1,316"
2013,08,"1,192"
2013,09,"1,168"
2013,10,"1,347"
2013,11,"1,702"
2013,12,"2,277"
2014,01,"2,072"
2014,02,"3,034"
2014,03,"3,562"
2014,04,"3,803"
2014,05,"4,162"
2014,06,"8,376"
2014,07,"21,219"
2014,08,"171,288"
2014,09,"123,187"
2014,10,"106,879"
2014,11,"115,356"
2014,12,"147,054"
2015,01,"215,111"
2015,02,"206,985"
2015,03,"282,741"
2015,04,"223,298"
2015,05,"181,137"
2015,06,"182,094"
2015,07,"168,426"
2015,08,"165,908"
2015,09,"163,227"
2015,10,"172,727"
2015,11,"190,184"
2015,12,"172,772"
2016,01,"166,123"
2016,02,"160,144"
2016,03,"181,751"
2016,04,"179,225"
2016,05,"176,778"
2016,06,"165,140"
2016,07,"159,990"
2016,08,"168,529"
2016,09,"180,808"
2016,10,"189,176"
2016,11,"211,735"
2016,12,"206,262"
2017,01,"203,790"
2017,02,"224,099"
2017,03,"211,963"
2017,04,"191,588"
2017,05,"198,337"
2017,06,"191,560"
2017,07,"184,065"
2017,08,"207,140"
2017,09,"204,379"
2017,10,"190,081"
2017,11,"227,411"
2017,12,"194,366"
2018,01,"203,923"
2018,02,"175,992"
2018,03,"202,595"
2018,04,"186,150"
2018,05,"197,702"
2018,06,"220,148"
2018,07,"236,915"
2018,08,"236,086"
2018,09,"241,630"
2018,10,"278,419"
2018,11,"311,088"
2018,12,"255,965"
2019,01,"270,568"
2019,02,"268,633"
2019,03,"282,336"
2019,04,"273,220"
2019,05,"255,839"
2019,06,"296,342"
2019,07,"280,902"
2019,08,"259,629"
2019,09,"295,331"
2019,10,"285,994"
2019,11,"309,702"
2019,12,"278,708"
2020,01,"243,144"
2020,02,"243,397"
2020,03,"362,718"
2020,04,"228,684"
2020,05,"246,627"
2020,06,"225,644"
2020,07,"239,442"
2020,08,"249,628"
2020,09,"266,115"
2020,10,"279,118"
2020,11,"300,357"
2020,12,"368,422"
2021,01,"330,413"
2021,02,"256,864"
2021,03,"313,695"
2021,04,"296,220"
2021,05,"300,554"
2021,06,"267,302"
2021,07,"273,348"
2021,08,"262,531"
2021,09,"260,644"
2021,10,"268,553"
2021,11,"288,379"
2021,12,"243,283"
2022,01,"224,264"
